"codine","CA","CP","src_indx"
10016,11,10,2173
10017,11,10,3658
10018,11,10,4652
10019,11,10,4343
10020,11,10,4623
10021,11,10,5873
10022,11,10,2617
10023,11,10,3629
10024,11,10,3363
10025,11,10,2510
10026,11,10,3049
10027,11,10,6974
10028,11,10,458
10029,11,10,2612
10030,11,10,2831
10031,11,10,1276
10032,11,10,4682
10033,11,10,2577
10034,11,10,2262
10035,11,10,4870
10036,11,10,2189
10037,11,10,6890
10038,11,10,14
10039,11,10,2613
10040,11,10,2655
10041,11,10,4008
10043,11,10,3675
10044,11,10,4476
10045,11,10,3990
10046,11,10,1363
10047,11,10,3891
10048,11,10,1881
10049,11,10,5603
10050,11,10,4216
10051,11,10,2637
10052,11,10,1086
10053,11,10,2000
10054,11,10,3027
10055,11,10,3428
10056,11,10,3144
10057,11,10,904
10058,11,10,4256
10059,11,10,2485
10060,11,10,3941
10061,11,10,4660
10062,11,10,2653
10063,11,10,985
10064,11,10,4513
10065,11,10,757
10066,11,10,1226
10067,11,10,6349
10068,11,10,3561
10069,11,10,3633
10070,11,10,3418
10071,11,10,938
10072,11,10,3692
