id,Y,M,O,Total
13058,473,2631,2375,5479
13061,1585,4218,2230,8033
13063_AM,1978,4583,805,7366
13064_AM,1393,4543,2381,8317
13065_AM,952,2867,1315,5134
13068_AM,857,3021,1692,5570
13071,12144,27184,8869,48197
13077_AM,1201,4291,2374,7866
13078,2690,7342,3627,13659
13079,3421,9797,2755,15973
13082,2997,18525,17072,38594
13085_AM,1515,4789,2262,8566
13087,5193,14987,10805,30985
13089_AM,1096,3503,2270,6869
13092_AM,1184,3937,2592,7713
13093_AM,969,3213,1631,5813
13096,2394,5373,2213,9980
13097_AM,1026,2926,1873,5825
14001_AM,949,3722,2780,7451
14002,2713,7478,3942,14133
14005_AM,1433,5368,3339,10140
14007_AM,3894,10947,6891,21732
14008_AM,1002,3621,2565,7188
14009_AM,1063,3318,2175,6556
14010_AM,1824,4991,2348,9163
14012_AM,1490,6277,3490,11257
14013,3090,9974,8009,21073
14017,2130,8105,5181,15416
14019,1545,4388,2750,8683
1402101,5659,20890,17059,43608
1402102,7479,27830,22327,57636
1402103,393,1461,1181,3035
1402104,767,2849,2302,5918
1402105,4655,17550,13745,35950
1402106,8735,32248,26428,67411
1402107,679,2521,2038,5238
1402108,489,1817,1468,3774
1402109,5311,19864,16109,41284
1402110,7185,26343,21520,55048
14022_AM,668,2467,2510,5645
14023_AM,1048,3464,1940,6452
14027,1600,6111,2148,9859
14029_AM,993,3396,2084,6473
14030_AM,1969,8141,1164,11274
14035,1335,3140,2752,7227
14038,6892,24285,12485,43662
14039_AM,941,3015,1848,5804
14041_AM,615,3480,3605,7700
14042,4478,11734,7510,23722
14043_AM,1823,6712,3460,11995
14045_AM,875,3117,2143,6135
14046,1383,2949,1179,5511
14049,4362,14031,3050,21443
14052,2952,7126,1762,11840
14053_AM,2055,6187,3929,12171
14054,1820,7733,7864,17417
14055_AM,5111,14039,7656,26806
14056,5793,16911,8411,31115
14057_AM,2768,8671,4631,16070
14058_AM,2572,7322,4968,14862
14060_AM,1247,3586,1230,6063
14066,1381,4750,1626,7757
14067_AM,1141,5389,2951,9481
